=== Contents of 7EGT_results.csv ===
Model,DockQ,CAPRI
7EGT_decoy1,0.907,High
7EGT_decoy2,0.909,High
7EGT_decoy3,0.897,High
7EGT_decoy4,0.909,High
7EGT_decoy5,0.899,High
7EGT_decoy6,0.901,High
7EGT_decoy7,0.902,High
7EGT_decoy8,0.907,High
7EGT_decoy9,0.903,High
7EGT_decoy10,0.901,High
7EGT_decoy11,0.906,High
7EGT_decoy12,0.898,High
7EGT_decoy13,0.900,High
7EGT_decoy14,0.906,High
7EGT_decoy15,0.897,High
7EGT_decoy16,0.910,High
7EGT_decoy17,0.907,High
7EGT_decoy18,0.900,High
7EGT_decoy19,0.903,High
7EGT_decoy20,0.901,High
7EGT_decoy21,0.895,High
7EGT_decoy22,0.899,High
7EGT_decoy23,0.899,High
7EGT_decoy24,0.900,High
7EGT_decoy25,0.904,High
7EGT_decoy26,0.894,High
7EGT_decoy27,0.896,High
7EGT_decoy28,0.892,High
7EGT_decoy29,0.902,High
7EGT_decoy30,0.908,High
7EGT_decoy31,0.900,High
7EGT_decoy32,0.904,High
7EGT_decoy33,0.896,High
7EGT_decoy34,0.898,High
7EGT_decoy35,0.919,High
7EGT_decoy36,0.902,High
7EGT_decoy37,0.901,High
7EGT_decoy38,0.904,High
7EGT_decoy39,0.903,High
7EGT_decoy40,0.898,High
7EGT_decoy41,0.901,High
7EGT_decoy42,0.891,High
7EGT_decoy43,0.901,High
7EGT_decoy44,0.896,High
7EGT_decoy45,0.906,High
7EGT_decoy46,0.906,High
7EGT_decoy47,0.895,High
7EGT_decoy48,0.911,High
7EGT_decoy49,0.896,High
7EGT_decoy50,0.895,High
7EGT_decoy51,0.910,High
7EGT_decoy52,0.903,High
7EGT_decoy53,0.901,High
7EGT_decoy54,0.904,High
7EGT_decoy55,0.899,High
7EGT_decoy56,0.895,High
7EGT_decoy57,0.908,High
7EGT_decoy58,0.914,High
7EGT_decoy59,0.907,High
7EGT_decoy60,0.903,High
7EGT_decoy61,0.903,High
7EGT_decoy62,0.901,High
7EGT_decoy63,0.892,High
7EGT_decoy64,0.909,High
7EGT_decoy65,0.887,High
7EGT_decoy66,0.904,High
7EGT_decoy67,0.895,High
7EGT_decoy68,0.901,High
7EGT_decoy69,0.904,High
7EGT_decoy70,0.865,High
7EGT_decoy71,0.903,High
7EGT_decoy72,0.888,High
7EGT_decoy73,0.907,High
7EGT_decoy74,0.909,High
7EGT_decoy75,0.903,High
7EGT_decoy76,0.891,High
7EGT_decoy77,0.900,High
7EGT_decoy78,0.899,High
7EGT_decoy79,0.901,High
7EGT_decoy80,0.902,High
7EGT_decoy81,0.904,High
7EGT_decoy82,0.904,High
7EGT_decoy83,0.901,High
7EGT_decoy84,0.904,High
7EGT_decoy85,0.904,High
7EGT_decoy86,0.906,High
7EGT_decoy87,0.903,High
7EGT_decoy88,0.904,High
7EGT_decoy89,0.899,High
7EGT_decoy90,0.895,High
7EGT_decoy91,0.900,High
7EGT_decoy92,0.892,High
7EGT_decoy93,0.888,High
7EGT_decoy94,0.899,High
7EGT_decoy95,0.901,High
7EGT_decoy96,0.902,High
7EGT_decoy97,0.900,High
7EGT_decoy98,0.913,High
7EGT_decoy99,0.893,High
7EGT_decoy100,0.905,High

=== Contents of 7EWF_results.csv ===
Model,DockQ,CAPRI
7EWF_decoy1,0.636,Medium
7EWF_decoy2,0.609,Medium
7EWF_decoy3,0.577,Medium
7EWF_decoy4,0.642,Medium
7EWF_decoy5,0.580,Medium
7EWF_decoy6,0.609,Medium
7EWF_decoy7,0.560,Medium
7EWF_decoy8,0.603,Medium
7EWF_decoy9,0.635,Medium
7EWF_decoy10,0.637,Medium
7EWF_decoy11,0.668,Medium
7EWF_decoy12,0.637,Medium
7EWF_decoy13,0.641,Medium
7EWF_decoy14,0.605,Medium
7EWF_decoy15,0.633,Medium
7EWF_decoy16,0.613,Medium
7EWF_decoy17,0.631,Medium
7EWF_decoy18,0.641,Medium
7EWF_decoy19,0.669,Medium
7EWF_decoy20,0.601,Medium
7EWF_decoy21,0.622,Medium
7EWF_decoy22,0.612,Medium
7EWF_decoy23,0.653,Medium
7EWF_decoy24,0.626,Medium
7EWF_decoy25,0.572,Medium
7EWF_decoy26,0.637,Medium
7EWF_decoy27,0.630,Medium
